City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Westport,US,76.55,clear sky,41.1415,-73.3579,The Westport Inn
506,Morgan City,US,82.99,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
507,Rach Gia,VN,76.95,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
514,Mayumba,GA,78.24,broken clouds,-3.432,10.6554,LIKWALE LODGE
516,Waingapu,ID,81.34,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
518,Yaring,TH,80.73,scattered clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
519,Dicabisagan,PH,78.03,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
523,Atambua,ID,77.63,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
524,Marsa Matruh,EG,82.98,clear sky,31.3525,27.2453,Beau Site
525,Meulaboh,ID,79.18,scattered clouds,4.1363,96.1285,Kost Pria
527,Silvania,BR,89.56,scattered clouds,-16.6589,-48.6081,Hotel Dom Bosco
528,Nha Trang,VN,77.0,moderate rain,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
532,Harrisburg,US,76.95,clear sky,40.2737,-76.8844,Hilton Harrisburg
537,Port Blair,IN,80.1,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
539,Harper,LR,82.51,light rain,4.375,-7.7169,Screensaver
540,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
546,Axim,GH,83.48,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
550,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
553,Buritizeiro,BR,89.56,broken clouds,-17.3511,-44.9622,Santos Palace Hotel
554,Katherine,AU,89.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
555,Orocue,CO,87.03,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
559,Mbigou,GA,77.5,light rain,-1.9005,11.906,
561,Malpe,IN,81.7,moderate rain,13.35,74.7167,Hotel Sri Krishna Residency
567,Iralaya,HN,85.55,overcast clouds,15.0,-83.2333,Iglesia morava renovada
569,Colares,PT,81.45,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
574,Banda Aceh,ID,80.85,scattered clouds,5.5577,95.3222,Sulthan Hotel International
578,Benguela,AO,76.59,clear sky,-12.5763,13.4055,Hotel Praia Morena
