City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Comodoro Rivadavia,AR,-45.8667,-67.5,58.75,36,47,38.63,scattered clouds
136,Hirara,JP,24.8,125.2833,82.13,71,16,14.99,few clouds
137,Coquimbo,CL,-29.9533,-71.3436,62.87,54,0,9.01,clear sky
138,Birin,NP,26.8865,88.0718,64.62,80,33,4.85,scattered clouds
139,Carnarvon,AU,-24.8667,113.6333,69.87,83,40,8.05,scattered clouds
140,Rehoboth,NA,-23.3167,17.0833,85.21,11,3,24.11,clear sky
141,Warri,NG,5.5167,5.75,85.95,67,93,6.46,light rain
142,Mar Del Plata,AR,-38.0023,-57.5575,59.02,50,0,1.01,clear sky
143,Upernavik,GL,72.7868,-56.1549,24.08,70,32,7.99,scattered clouds
144,Ngorongoro,TZ,-3.2397,35.4875,66.61,44,83,6.33,broken clouds
145,Arraial Do Cabo,BR,-22.9661,-42.0278,76.28,82,69,9.82,broken clouds
146,Sur,OM,22.5667,59.5289,84.11,62,0,9.57,clear sky
147,Port Macquarie,AU,-31.4333,152.9167,56.07,63,15,8.52,few clouds
148,Leh,IN,34.1667,77.5833,48.97,17,0,3.53,clear sky
149,Jalu,LY,29.0331,21.5482,82.08,24,0,14.79,clear sky
150,Havre,FR,49.5833,0.3333,61.48,77,75,9.22,broken clouds
151,Schweinfurt,DE,50.05,10.2333,57.6,71,83,7.72,broken clouds
152,Namibe,AO,-15.1961,12.1522,68.72,72,18,11.45,few clouds
153,Port Lincoln,AU,-34.7333,135.8667,54.73,71,96,10.96,overcast clouds
154,Severo-Kurilsk,RU,50.6789,156.125,44.2,88,54,15.99,broken clouds
155,Dauphin,CA,51.1494,-100.0502,41.23,70,87,13.38,overcast clouds
156,Razole,IN,16.4833,81.8333,82.69,87,100,2.15,overcast clouds
157,Constitucion,CL,-35.3333,-72.4167,55.76,44,0,12.75,clear sky
158,Ciney,BE,50.2945,5.1002,54.99,86,100,4.03,overcast clouds
159,Seymchan,RU,62.8833,152.4333,15.28,78,48,10.0,scattered clouds
160,Yar-Sale,RU,66.8333,70.8333,39.61,97,100,6.96,overcast clouds
161,Alice Springs,AU,-23.7,133.8833,54.95,38,0,2.3,clear sky
162,The Valley,AI,18.217,-63.0578,88.11,79,40,10.36,scattered clouds
163,Marsh Harbour,BS,26.5412,-77.0636,80.38,62,7,8.14,clear sky
164,Goma,CD,-1.6792,29.2228,70.14,81,79,2.62,light rain
165,Mount Gambier,AU,-37.8333,140.7667,52.2,67,100,13.67,overcast clouds
166,Verkhoyansk,RU,67.5447,133.385,10.6,98,97,1.59,overcast clouds
167,Pevek,RU,69.7008,170.3133,15.73,94,97,3.02,overcast clouds
168,Kawalu,ID,-7.3817,108.2082,71.47,94,99,2.04,overcast clouds
169,Daru,PG,-9.0763,143.2092,77.63,91,100,6.55,overcast clouds
170,Rosarito,MX,32.3333,-117.0333,73.63,29,0,6.76,clear sky
171,Geraldton,AU,-28.7667,114.6,60.13,94,2,4.61,clear sky
172,Haines Junction,CA,60.7522,-137.5108,31.01,89,100,2.28,light snow
173,Broome,US,42.2506,-75.833,75.81,70,20,1.01,few clouds
174,Hithadhoo,MV,-0.6,73.0833,83.17,77,98,23.51,overcast clouds
175,Potam,MX,27.6,-110.3833,68.59,24,0,8.08,clear sky
176,Raudeberg,NO,61.9875,5.1352,45.27,84,100,5.01,light rain
177,Belmonte,BR,-15.8631,-38.8828,81.1,71,86,9.64,overcast clouds
178,Agirish,RU,61.9247,63.0231,44.87,69,100,10.49,overcast clouds
179,Coos Bay,US,43.3665,-124.2179,48.92,98,5,3.13,clear sky
180,Kyshtovka,RU,56.555,76.6271,42.51,83,6,5.86,clear sky
181,Nicolas Bravo,MX,18.45,-88.9167,76.08,64,14,3.0,few clouds
182,Talnakh,RU,69.4865,88.3972,32.5,99,100,11.5,snow
183,Voh,NC,-20.9667,164.7,67.37,85,31,5.23,scattered clouds
184,Komsomolskiy,UZ,40.4272,71.7189,56.62,22,3,0.45,clear sky
185,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,79,67,7.25,broken clouds
186,Dikson,RU,73.5069,80.5464,28.53,88,97,5.17,overcast clouds
187,Portland,US,45.5234,-122.6762,51.91,94,90,1.99,overcast clouds
188,Hambantota,LK,6.1241,81.1185,80.94,89,40,5.75,scattered clouds
